,palavras,quantidade
997,prêmio best,1
998,expo revestir,1
999,líquida resultou,1
1000,pre mia,1
1001,87mulheres772731127525 13total,1
1002,civil imec,1
1003,reconhece anualmente,1
1004,fornecimento responsávelter,1
1005,13total 0020192018indeterminadopercentual,1
1006,revestir maior,1
1007,nota ana,1
1008,duas alternativas,1
1009,decorrente principalmente,1
1010,carbon disclosure,1
1011,recebidas 298378535manifestações,1
1012,sendo controlada,1
1013,desenvolver duas,1
1014,integrado 70201920182017colaboradorestotal,1
1015,críticas826279manifestações tratadas,1
1016,recursos hídricos,1
1017,genéticas superando,1
1018,compliance 69duratex,1
1019,bracell apurou,1
1020,implementamos aplicativo,1
1021,anticorrupção compliance,1
1022,líquida totalizou,1
1023,0020192018indeterminadopercentual determinadopercentual,1
1024,aqui 46investimentos,1
1025,reestru turação,1
1026,período decorrente,1
1027,quarta vez,1
1028,conservação vizinhas,1
1029,ouvidores ombudsman,1
1030,ombudsman abo,1
1031,homens43680 mulheres10820,1
1032,obser vada,1
1033,manutenção obser,1
1034,abo federação,1
1035,períodopercentual homens43680,1
1036,interna cional,1
1037,federação brasileira,1
1038,premissas relacionadas,1
1039,períodopercentual integral,1
1040,ban cos,1
1041,cos febraban,1
1042,desejáveis métricas,1
1043,união ogu,1
1044,melhor apurar,1
1045,instituto mineiro,1
1046,disclosure project,1
1047,engenharia civil,1
1048,homens206732308822274 87mulheres772731127525,1
1049,tipo status,1
1050,júri especializado,1
1051,determinadopercentual homens206732308822274,1
1052,especializado formado,1
1053,arquitetos designers,1
1054,números calculados,1
1055,contabilizados nesses,1
1056,assuntos tratados,1
1057,interiores jornalistas,1
1058,integral gera,1
1059,tempo integral,1
1060,ano consecutivo,1
1061,vizinhas maiores,1
1062,ouvidoria conquistou,1
1063,ganha doras,1
1064,anterior incorporação,1
1065,concentram áreas,1
1066,re portam,1
1067,orga danças,1
1068,cdp orga,1
1069,investigadas 7413em,1
1070,20182017crítica77 8denúncia21,1
1071,conexão cdp,1
1072,sp representantes,1
1073,soma ram,1
1074,atendimento 20182017crítica77,1
1075,ocorrendo conforme,1
1076,ouvidoria junto,1
1077,clima água,1
1078,gerados passou,1
1079,assuntos gerados,1
1080,cecrisa ram,1
1081,2º nível,1
1082,conforme planejado,1
1083,8denúncia21 8sugestão,1
1084,críticos avaliados,1
1085,evento conexão,1
1086,áreas fomentadas,1
1087,nota superior,1
1088,líquida retraída,1
1089,danos ambientais,1
1090,planejado realizamos,1
1091,ana edição,1
1092,segurança hídrica,1
1093,hídrica avançamos,1
1094,categoria ﬁliderançaﬂ,1
1095,100100100201920182017procedentes251328improcedentes171310inconclusivas15115não investigadas,1
1096,empresas latino,1
1097,danças climáticas,1
1098,supplier engagement,1
1099,engagement durante,1
1100,6total 100100100201920182017procedentes251328improcedentes171310inconclusivas15115não,1
1101,6consulta1 2elogion,1
1102,e2 reduzido,1
1103,pas solicitar,1
1104,298378535manifestações tratadas,1
1105,251304372assuntos gerados,1
1106,607065manifestações tratadas,1
1107,recebidas 607065manifestações,1
1108,quarta consecutiva,1
1109,encaminhadas 251338453fornecedorestotal,1
1110,manifestações encaminhadas,1
1111,críticos possuem,1
1112,setor ﬁmaterial,1
1113,20ª edição,1
1114,7413em investigação182123total,1
1115,ouvidoria 251304372assuntos,1
1116,vem ocorrendo,1
1117,grandes ganha,1
1118,demandas 63pilartema,1
1119,frete interna,1
1120,continua sendo,1
1121,seca vem,1
1122,solicitar orçamentos,1
1123,preocupações críticas826279manifestações,1
1124,montante abaixo,1
1125,ouvidoria 101117manifestações,1
1126,grande porte,1
1127,maior construtora,1
1128,recebidas 409766769total,1
1129,ouvidoria 455342total,1
1130,formalmente tratadas,1
1131,project cdp,1
1132,fomentadas indicando,1
1133,manifestações formalmente,1
1134,investigação182123total 826279201920182017número,1
1135,568assuntos gerados,1
1136,e2 continua,1
1137,imóveis residenciais,1
1138,tratadas 568assuntos,1
1139,latina guia,1
1140,quinta vez,1
1141,manejo sustentável,1
1142,divulgação externa,1
1143,instituições públicas,1
1144,contingências civis,1
1145,sendo desenvolvidas,1
1146,48sul41841841 63total,1
1147,fontes energéticas,1
1148,incluí las,1
1149,eletricistas capacitados,1
1150,capacitados treinados,1
1151,app marcenaria,1
1152,89sudeste6 48sul41841841,1
1153,nordeste2 89sudeste6,1
1154,energia térmica,1
1155,determinadopercentual nordeste2,1
1156,56total indeterminadopercentual,1
1157,assistência técnica,1
1158,44mulheres1 56total,1
1159,técnica paats,1
1160,homens7 44mulheres1,1
1161,madeira advinda,1
1162,63total dados,1
1163,bracell realizada,1
1164,implemen tou,1
1165,atingida resultado,1
1166,compradas conferir,1
1167,previstas adiadas,1
1168,comi tê,1
1169,representatividade quanto,1
1170,outros trabalhadores,1
1171,diálogo franco,1
1172,meta atingida,1
1173,resultado aferido,1
1174,divisão implemen,1
1175,trabalhadores 201920182017corporativo,1
1176,vagas preenchidas,1
1177,expressiva representatividade,1
1178,aproveitamento interno,1
1179,201920182017integral percentual,1
1180,trabalho 201920182017integral,1
1181,atingindo reduzir,1
1182,tou novo,1
1183,inovação baseado,1
1184,paats proveniente,1
1185,formados acima,1
1186,bus cando,1
1187,civis tributárias,1
1188,colômbia 201920182017corporativo,1
1189,atributos percebidos,1
1190,concentrando maior,1
1191,atendida agentes,1
1192,agentes formados,1
1193,imagem perante,1
1194,meta atendida,1
1195,locais mensurar,1
1196,metastatuscomentáriosprocessos reduzir,1
1197,62pilartema metastatuscomentáriosprocessos,1
1198,projetos concentrando,1
1199,gri 62pilartema,1
1200,cando sinergias,1
1201,homens7 mulheres1,1
1202,colaboradorespercentual indeterminado9,1
1203,expressiva redução,1
1204,mídias sociais,1
1205,preço adicional,1
1206,digitais feiras,1
1207,201920182017indeterminadopercentual determinadopercentual,1
1208,externo relacionamento,1
1209,trabalho 201920182017indeterminadopercentual,1
1210,ções suspensivas,1
1211,desenvolvimento localter,1
1212,hipó ções,1
1213,consumer insights,1
1214,vem bus,1
1215,trabalhistas valor,1
1216,lençóis paulista,1
1217,florestal lençóis,1
1218,devido sobretudo,1
1219,gestores expostos,1
1220,indeterminado9 determinado4655124261482802,1
1221,gestores participaram,1
1222,consumo absoluto,1
1223,homens7 36mulheres1,1
1224,metais acabados,1
1225,clientes 45duratex,1
1226,orçamento desse,1
1227,principalmente advindo,1
1228,piloto desenvolvido,1
1229,giro principalmente,1
1230,pricewa terhousecoopers,1
1231,terhousecoopers pwc,1
1232,pwc visa,1
1233,ativos imobilizados,1
1234,superada reduzir,1
1235,6720192018indeterminadopercentual determinadopercentual,1
1236,7320total 6720192018indeterminadopercentual,1
1237,29180mulheres3411758 7320total,1
1238,homens28989542 29180mulheres3411758,1
1239,determinadopercentual homens28989542,1
1240,região sul,1
1241,visa estimular,1
1242,respeitado prêmio,1
1243,painéis superaram,1
1244,ideias criativas,1
1245,apresentarem ideias,1
1246,dias encerrando,1
1247,reconhecida 59duratex,1
1248,ranking geral,1
1249,30total 20192018integral,1
1250,geral ocupamos,1
1251,33ª posição,1
1252,iniciati vas,1
1253,produtos eletrônicos,1
1254,digitais liderar,1
1255,programa imagine,1
1256,rígida política,1
1257,apoia empreendedores,1
1258,ti alcan,1
1259,alcan çamos,1
1260,presentes existe,1
1261,primeiro lugar,1
1262,redução contribuindo,1
1263,data folha,1
1264,emissões absolutas,1
1265,consumidor brasileiro,1
1266,ciclo estar,1
1267,caixa livre,1
1268,análise realizar,1
1269,cecrisa revesti,1
1270,63pilartema metastatuscomentáriosprocessos,1
1271,parcialmente realizadas,1
1272,rua promovida,1
1273,percentual homens2888964629179,1
1274,selo great,1
1275,meta projetada,1
1276,work gptw,1
1277,botucatu fluxo,1
1278,divisões considerar,1
1279,chapas podem,1
1280,liderança reconhecida,1
1281,64total 20192018integral,1
1282,36mulheres1 64total,1
1283,homens2888964629179 mulheres34117547320,1
1284,vida acv,1
1285,aqui 60anexo,1
1286,trabalhadorester taxa,1
1287,60anexo gri,1
1288,coleta atingidos,1
1289,gri 61pilartema,1
1290,61pilartema metastatuscomentáriospessoas,1
1291,parcialmente atingidos,1
1292,metastatuscomentáriospessoas condições,1
1293,orçamentos encontrar,1
1294,previstas parcialmente,1
1295,consultoria independente,1
1296,frequência tfa,1
1297,afastamento igual,1
1298,implementar programa,1
1299,acidentes tfa,1
1300,índice igual,1
1301,indicadores apurados,1
1302,andamento implementar,1
1303,metastatuscomentáriosprocessos cadeia,1
1304,aliando produ,1
1305,sendo considerada,1
1306,possamos atuar,1
1307,visa ajudar,1
1308,residenciais comerciais,1
1309,fazerem ções,1
1310,projeto traz,1
1311,capacitações possamos,1
1312,mantemos preparadas,1
1313,incêndios mantemos,1
1314,eventuais incêndios,1
1315,combater eventuais,1
1316,traz planos,1
1317,49para combater,1
1318,conservação 49para,1
1319,ação personalizados,1
1320,soluções eco,1
1321,eco nomizadoras,1
1322,promover reúso,1
1323,canal escolhas,1
1324,youtube acesse,1
